Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating,Age Band,Continent
49,Male,PhD,Divorced,72799.0,688,45713.0,Business,Unemployed,19,Poor,0.6279344496490337,120228,0,Port Elizabeth,AS,Cyprus,2,2,Low,45-59,Asia
21,Non-binary,Master's,Single,55687.0,600,36623.0,Home,Employed,8,Fair,0.6576579812164419,180700,3,South Scott,OK,Luxembourg,3,2,Medium,18-29,Europe
59,Male,Bachelor's,Single,26508.0,622,26541.0,Personal,Unemployed,2,Excellent,1.001244907197827,157319,3,Robinhaven,PR,Uganda,4,2,Medium,45-59,Africa
42,Non-binary,Master's,Single,116212.0,707,24771.0,Home,Employed,11,Excellent,0.21315354696588992,212198,3,Matthewborough,NH,French Guiana,0,2,Medium,30-44,South America
55,Male,High School,Married,70978.0,706,36970.0,Personal,Unemployed,19,Excellent,0.5208656203330609,54041,3,Christophermouth,MO,Tonga,1,0,Medium,45-59,Oceania
56,Non-binary,PhD,Married,21084.0,702,22039.0,Personal,Employed,19,Fair,1.0452950104344527,226053,2,East James,MP,Isle of Man,0,2,Medium,45-59,Europe
41,Male,PhD,Married,93133.0,791,14052.0,Business,Employed,13,Poor,0.15088099814244146,82774,0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1,0,Low,30-44,Antarctica
48,Non-binary,PhD,Married,46408.0,632,48403.0,Personal,Unemployed,16,Excellent,1.0429882778831236,93647,3,South Jason,KS,Guyana,1,0,Low,45-59,South America
47,Female,High School,Single,33065.0,783,6895.0,Auto,Self-employed,2,Fair,0.20852865567820958,158428,3,West Sharon,AL,Seychelles,2,0,Low,45-59,Africa
21,Male,Bachelor's,Widowed,73952.0,631,49525.0,Auto,Unemployed,3,Excellent,0.6696911510168758,32912,0,West Denisebury,KY,French Guiana,1,2,Low,18-29,South America
65,Male,PhD,Widowed,77146.0,796,38386.0,Business,Self-employed,17,Fair,0.49757602468047596,262145,0,Johnsonside,LA,Vietnam,4,1,Medium,>=60,Asia
39,Non-binary,PhD,Single,93509.0,703,16651.0,Auto,Unemployed,5,Fair,0.1780684212214867,270036,0,North Joshuaborough,MI,Falkland Islands (Malvinas),0,0,Medium,30-44,South America
36,Male,Bachelor's,Divorced,29868.0,635,12521.0,Auto,Employed,17,Excellent,0.41921119592875317,240325,2,Wendyshire,ND,Dominica,4,0,Low,30-44,North America
36,Female,Master's,Married,68776.0,612,47707.0,Personal,Unemployed,11,Fair,0.6936576712806793,68491,0,Port Christopher,NY,Brunei Darussalam,1,1,Low,30-44,Asia
54,Female,Bachelor's,Married,98669.0,720,19464.0,Business,Unemployed,2,Poor,0.1972656052052823,26571,0,Smithview,IA,French Polynesia,1,0,High,45-59,Oceania
19,Non-binary,Master's,Single,112545.0,712,15503.0,Home,Unemployed,7,Poor,0.13774934470656183,194154,0,Ibarraport,NJ,Zimbabwe,4,0,Low,18-29,Africa
44,Non-binary,PhD,Widowed,51280.0,750,22162.0,Home,Employed,11,Excellent,0.43217628705148203,87579,3,East Danielmouth,AS,Haiti,1,2,Medium,30-44,North America
65,Male,Master's,Divorced,106526.0,650,23161.0,Auto,Employed,19,Poor,0.21742109907440438,98025,4,Richardbury,ID,Armenia,0,0,Low,>=60,Asia
36,Non-binary,Bachelor's,Widowed,37105.0,720,33259.0,Home,Employed,7,Fair,0.8963482010510713,294048,2,Yvonneland,NY,Brunei Darussalam,3,1,Medium,30-44,Asia
39,Female,Master's,Widowed,100015.0,615,23114.0,Business,Unemployed,14,Poor,0.23110533419987003,85309,0,New Meganshire,NV,French Polynesia,3,0,Low,30-44,Oceania
50,Female,Master's,Divorced,96293.0,708,21552.0,Auto,Employed,3,Excellent,0.2238168921936174,255942,4,Port Amy,FM,Egypt,0,1,Low,45-59,Africa
38,Non-binary,Bachelor's,Single,48069.0,670,17841.0,Home,Unemployed,17,Excellent,0.3711539661736254,241550,2,Jacksonmouth,WA,Jordan,0,2,Low,30-44,Asia
35,Female,PhD,Married,72433.0,792,5747.0,Business,Self-employed,4,Good,0.07934228873579723,112076,0,Andreaborough,NC,Thailand,3,2,Low,30-44,Asia
22,Non-binary,Master's,Widowed,65266.0,617,34746.0,Home,Unemployed,18,Poor,0.5323752030153526,40215,4,Taylormouth,ND,Botswana,1,1,Low,18-29,Africa
40,Male,Master's,Widowed,98578.0,663,8747.0,Auto,Self-employed,1,Good,0.08873176570837306,37396,0,Jacobview,WV,Russian Federation,0,1,Low,30-44,Asia
39,Male,High School,Married,90227.0,770,18079.0,Business,Employed,3,Poor,0.20037239407272767,163838,1,South Brianna,GU,Mali,0,1,Low,30-44,Africa
31,Non-binary,High School,Divorced,107081.0,740,18101.0,Business,Employed,5,Poor,0.16904025924300295,25157,2,Gordonbury,AL,Ukraine,1,2,Low,30-44,Europe
45,Female,High School,Widowed,82878.0,748,17023.0,Auto,Self-employed,19,Poor,0.20539829629093367,192705,4,Penamouth,NH,Ethiopia,4,1,Low,45-59,Africa
19,Male,High School,Married,35817.0,731,44426.0,Home,Unemployed,1,Fair,1.240360722561912,20626,1,East Triciatown,WI,Angola,0,2,Low,18-29,Africa
36,Female,High School,Married,65104.0,699,44260.0,Home,Employed,2,Excellent,0.6798353403784714,135458,4,Zacharyhaven,NM,Guatemala,2,2,Low,30-44,North America
23,Male,Bachelor's,Single,28906.0,724,24532.0,Business,Unemployed,3,Poor,0.8486819345464609,96640,2,Lake Evelynstad,CA,Monaco,0,0,Low,18-29,Europe
22,Male,Master's,Widowed,104766.0,764,16117.0,Business,Unemployed,17,Good,0.15383807723879886,156630,3,New Shannonberg,KY,Gambia,3,1,Low,18-29,Africa
41,Female,Master's,Widowed,79556.0,742,5235.0,Home,Employed,5,Excellent,0.06580270501282116,247857,0,Onealfurt,WA,Romania,4,0,Low,30-44,Europe
57,Male,Master's,Single,116102.0,629,31831.0,Home,Employed,16,Excellent,0.27416409708704415,228018,4,Smithborough,IA,Palestinian Territory,2,0,Medium,45-59,Asia
52,Male,High School,Married,32094.0,634,17612.0,Home,Self-employed,17,Good,0.5487630086620552,114375,2,West Robert,IA,Singapore,2,0,Medium,45-59,Asia
55,Non-binary,Master's,Widowed,108177.0,735,23616.0,Business,Employed,12,Fair,0.21830888266452203,165613,2,Barneston,CA,Saint Pierre and Miquelon,1,2,Medium,45-59,North America
41,Female,PhD,Widowed,96591.0,722,7260.0,Home,Employed,12,Fair,0.07516228220020499,102681,0,New Shelby,KS,Lesotho,2,2,Medium,30-44,Africa
67,Male,Master's,Widowed,107366.0,655,20154.0,Home,Employed,9,Poor,0.18771305627479834,108345,4,New Valerie,GA,Monaco,4,1,Low,>=60,Europe
60,Female,PhD,Married,74030.0,711,9459.0,Personal,Unemployed,19,Fair,0.12777252465216804,96641,2,Lake Daniel,PW,Argentina,0,2,Low,>=60,South America
39,Male,Master's,Divorced,56116.0,636,16578.0,Personal,Employed,12,Excellent,0.2954237650580939,197835,1,Johnnyberg,NY,South Africa,1,0,Medium,30-44,Africa
64,Male,PhD,Single,101855.0,686,48584.0,Auto,Self-employed,9,Good,0.4769918020715723,138039,3,East Keith,MS,El Salvador,3,1,Low,>=60,North America
